latitude,longitude
-33.884633, 151.194464
-33.884889, 151.194453
-33.884986, 151.194464
-33.885154, 151.194378
-33.885371, 151.194288
-33.885517, 151.194197
-33.885645, 151.194150
-33.885826, 151.194059
-33.885981, 151.194022
-33.886171, 151.193905
-33.886343, 151.193809
-33.886533, 151.193761
-33.886666, 151.193702
-33.886644, 151.193657
-33.887127, 151.193300
-33.887265, 151.193205
-33.887477, 151.192983
-33.887722, 151.192733
-33.887639, 151.192455
-33.887542, 151.192149
-33.887454, 151.191854
-33.887357, 151.191549
-33.887283, 151.191243
-33.886914, 151.191165
-33.886743, 151.191159
-33.886517, 151.191182
-33.886337, 151.191221
-33.886116, 151.191371
-33.885844, 151.191393
-33.885488, 151.191499
-33.885220, 151.191543
-33.884902, 151.191927
-33.884851, 151.192433
-33.884814, 151.192944
-33.884741, 151.193389
-33.884741, 151.194017
